Interval Start,Internal CO2 (tonnes),Exported CO2 (tonnes),Imported CO2 (tonnes),Load,VRE,Total_CO2_Emissions,delta_Load,delta_VRE,delta_Total_CO2_Emissions
2025-11-18 19:00:00+00:00,3973.651737,820.522524135,88.43783691,5985.0,2833.0,3241.567049775,-110.0,-140.0,63.116489190000266
2025-11-18 20:00:00+00:00,3988.348134,830.220331785,104.91413088,5755.0,2617.0,3263.0419330950003,-230.0,-216.0,21.474883320000117
2025-11-18 21:00:00+00:00,3740.31468315,599.4252103050001,224.72968257000002,5683.0,1988.0,3365.619155415,-72.0,-629.0,102.57722231999969
2025-11-18 22:00:00+00:00,3556.60246317,470.32915606499995,349.5746679,5721.0,1744.0,3435.847975005,38.0,-244.0,70.22881959000006
2025-11-18 23:00:00+00:00,4105.58909466,469.15435149,149.84700393,5826.0,1265.0,3786.2817471,105.0,-479.0,350.43377209499977
2025-11-19 00:00:00+00:00,4607.3204595,731.141214825,172.569266625,6118.0,1132.0,4048.7485113,292.0,-133.0,262.46676419999994
2025-11-19 01:00:00+00:00,4758.4211931,930.5259628650001,438.77998332000004,6127.0,896.0,4266.6752135550005,9.0,-236.0,217.9267022550007
2025-11-19 02:00:00+00:00,4953.592974,1084.155928245,430.601710545,6023.0,923.0,4300.0387562999995,-104.0,27.0,33.363542744998995
2025-11-19 03:00:00+00:00,4794.2005695,1049.2810152900001,475.37673340500004,5996.0,968.0,4220.2962876149995,-27.0,45.0,-79.74246868499995
2025-11-19 04:00:00+00:00,4509.639314624999,1023.552341505,527.0563413,5819.0,1046.0,4013.14331442,-177.0,78.0,-207.1529731949995
2025-11-19 05:00:00+00:00,4574.02677,1040.139312045,379.61247043500003,5675.0,1118.0,3913.49992839,-144.0,72.0,-99.64338602999987
2025-11-19 06:00:00+00:00,4522.0967790449995,1233.001399935,337.13171844000004,5423.0,1419.0,3626.22709755,-252.0,301.0,-287.2728308400001
2025-11-19 07:00:00+00:00,4286.974385115,1179.63624231,398.77493919,5309.0,1463.0,3506.1130819950004,-114.0,44.0,-120.1140155549997
2025-11-19 08:00:00+00:00,4285.4512214999995,1284.3589571549999,391.930228365,5146.0,1612.0,3393.0224927100003,-163.0,149.0,-113.09058928500008
2025-11-19 09:00:00+00:00,4208.975526,1214.3850565500002,336.06849762,5090.0,1725.0,3330.65896707,-56.0,113.0,-62.36352564000026
2025-11-19 10:00:00+00:00,4293.15503652,1291.028581275,199.80477469500002,4996.0,1905.0,3201.93122994,-94.0,180.0,-128.72773713000015
2025-11-19 11:00:00+00:00,4496.190297,1373.783811345,22.688696850000003,5023.0,2010.0,3145.095182505,27.0,105.0,-56.83604743499973
2025-11-19 12:00:00+00:00,4693.865908500001,1443.217936875,0.0,5248.0,2099.0,3250.647971625,225.0,89.0,105.55278911999994
2025-11-19 13:00:00+00:00,4853.076876,1332.80535771,40.37517561,5824.0,2083.0,3560.6466939,576.0,-16.0,309.9987222750001
2025-11-19 14:00:00+00:00,4758.003888,1149.8506372049999,15.228007410000002,6125.0,2211.0,3623.381258205,301.0,128.0,62.73456430499982
2025-11-19 15:00:00+00:00,4621.018953000001,1144.94185917,0.0,6236.0,2580.0,3476.0770938299997,111.0,369.0,-147.30416437500025
2025-11-19 16:00:00+00:00,3793.6662330000004,773.980304895,148.390972005,6269.0,2897.0,3168.07690011,33.0,317.0,-308.0001937199995
